1;Yolanda;Gallardo;3121;57635
2;Rafael;Muñoz;86699;73414
3;Sergio;García;85940;60334
4;Rocío;Sanchís;75759;69762
5;María Carmen;Montoya;32916;95159
6;Susana;Sierra;7879;87962
7;José María;Moreno;93407;10840
8;Francisca;Rodríguez;20084;90887
9;Juan Manuel;Rodríguez;27263;35865
10;Raúl;Pérez;46198;87686
11;Manuela;Peña;65856;98531
12;Salvador;Castro;52674;13794
13;María Teresa;González;73174;61775
14;Miguel Ángel;Valle;11687;65382
15;Jorge;Parrilla;11939;88004
16;José Antonio;Gómez;20624;47253
17;David;González;47181;23060
18;Aurora;Beltrán;44701;14879
19;María;Rivas;65527;60223
20;David;Busto;74464;86879
21;Encarnación;Sánchez;51107;57558
22;Óscar;Rubio;43590;77673
23;Juan;Ramírez;97466;9901
24;Ana María;Rubio;13738;53773
25;Juan José;Moro;21588;18444
26;Jaime;Salgado;13001;19840
27;María Ángeles;Rubio;73482;2065
28;Jesús;Carrasco;87721;29051
29;María Isabel;Aznar;71258;94335
30;Álvaro;Vázquez;28185;18632
31;Ángel;Moreno;43608;38912
32;Luis;Collado;48697;30098
33;Elena;Julián;27986;59059
34;María;Castillo;75243;87133
35;Ana María;Aragón;7028;60773
36;Manuel;Macías;7719;27987
37;José Antonio;Álvarez;69206;41122
38;Manuel;Monge;29022;69171
39;María;Cruzado;66982;42127
40;Manuel;Martin;77412;15730
41;Joan;Segura;70572;58200
42;Ramón;Pinto;41290;84676
43;Antonia;Martínez;27724;93485
44;Pedro;Muñoz;33804;9938
45;Daniel;Badía;64752;74014
46;Carlos;De Paz;43162;12090
47;Francisco;Castro;68641;84804
48;María;Soria;1127;92522
49;Laura;Rodríguez;51175;41445
50;Jesús;Giménez;4508;45499
51;Sara;López;91305;2811
52;María Carmen;Maldonado;13133;23006
53;Javier;Núñez;80338;70384
54;Marc;Comesaña;50137;2022
55;Martí;Ortiz;75469;64665
56;María Teresa;Garrido;95638;16701
57;Francisco;Rodrigo;39630;64740
58;Julia;Rodríguez;38985;12270
59;Sandra;Sanjuán;46889;81063
60;Julia;Aguilera;20411;47194
61;José María;Izquierdo;15651;31994
62;Francisca;Córdoba;83184;50456
63;María Isabel;Duran;41223;12471
64;José Antonio;Padilla;85478;70638
65;María;Martin;19813;56477
66;José;Arias;6769;76793
67;Vicente;Álvarez;59271;90085
68;Pedro;Moreno;85753;59870
69;Jorge;Pineda;18983;14387
70;María Isabel;Domínguez;63923;52254
71;Ángel;Fernández;23579;67084
72;María Ángeles;Pujol;38220;71270
73;Juan Carlos;Gómez;92170;41666
74;Iván;Torres;51286;97288
75;Sergio;Plaza;13936;84711
76;Isabel;González;93946;72087
77;María Pilar;Sánchez;74401;45776
78;Iván;Hernández;29803;25250
79;Andrea;Muñoz;4458;6733
80;Álvaro;Gracia;25657;91545
81;Manuela;Fernández;56309;80260
82;David;Otero;39333;74137
83;David;Souto;75523;1976
84;Antonia;Pérez;80782;58919
85;José;Carrasco;3683;69783
86;Ángel;Rodríguez;50409;62685
87;Miguel Ángel;Muñoz;30985;52978
88;María Teresa;Rey;72473;99179
89;Juan Manuel;Araujo;54863;83472
90;Alberto;Ribes;95183;19313
91;Marta;Cabanes;68788;99164
92;José;Casanova;75543;31469
93;Manuel;Espinosa;11504;73323
94;Pilar;Cortes;39431;37404
95;Pablo;González;33812;9983
96;Susana;López;14661;32435
97;Cristina;Gómez;88775;27315
98;Álvaro;García;22129;81542
99;Pedro;López;27762;51850
100;Ramón;Nieto;67117;18620
101;María Carmen;García;66201;13936
102;Mercedes;García;63176;57327
103;Francisco;Berenguer;45879;43166
104;Juan;López;6211;55666
105;Manuel;Millán;49940;19223
106;Sergio;Santiago;7119;89468
107;Ramón;Saavedra;17014;51632
108;Enrique;Fernández;13748;86347
109;María Jesús;Saura;18607;13585
110;Santiago;Muller;99388;50075
111;Juan Manuel;Bonilla;44354;6890
112;Ángel;Pérez;1667;71110
113;David;Ruiz;66248;87304
114;Esperanza;Crespo;79568;43149
115;María Carmen;Gómez;90527;3085
116;Francisco;Carranza;29215;95380
117;Iñigo;Ortega;16658;64683
118;Ana María;Rodríguez;35511;84877
119;Alberto;García;6055;7605
120;Alex;Montaña;38036;44447
121;Teresa;Merino;73473;56015
122;Beatriz;Ocaña;85042;78615
123;María Luisa;Gómez;21189;43420
124;Ignacio;García;67939;1624
125;Milagros;Vicente;3179;91900
126;Daniel;Pons;4517;85533
127;Alberto;Sánchez;50339;1439
128;Marta;Ruiz;39275;92167
129;Jorge;Rojas;74791;36231
130;Jorge;Jiménez;74047;77267
131;José Antonio;Serra;29059;91134
132;Isabel;Rodríguez;74679;40663
133;Elena;Salado;5373;54899
134;Antonio;Rojas;82141;91311
135;María Isabel;Fernández;19429;39962
136;Josefa;Martínez;36777;63662
137;Pilar;Carballo;4722;64118
138;Rosario;Leal;63554;29031
139;José Antonio;Campo;17409;24262
140;Ángeles;Ramiro;14095;44494
141;Margarita;De la Vega;69513;37406
142;Ana María;López;95116;92562
143;María Dolores;Martínez;94846;50130
144;Laura;Ros;1162;90888
145;Emilia;Gutiérrez;54951;42414
146;Manuel;Mérida;19153;219
147;María Isabel;Gómez;79970;71139
148;Teresa;Marín;83386;28002
149;José Luis;Martin;33270;66429
150;Rocío;García;97073;51806
151;Juan Carlos;Cristóbal;179;38031
152;Alberto;Caamaño;75261;40844
153;Álvaro;Ochoa;22997;42527
154;Ana;Ruiz;57126;96132
155;María Carmen;Moreno;96529;90248
156;Ana Belén;Galván;63836;6060
157;Elisa;Muñoz;76284;78835
158;Carmen María;Pozo;76799;1894
159;Francisco Javier;Del Hoyo;8507;75208
160;Inmaculada;Sánchez;63357;27454
161;María Asunción;Salas;46389;2204
162;Concepción;Miranda;69569;2164
163;Rosa;Pacheco;75907;44795
164;María Victoria;Dumitru;47400;9929
165;Cristina;González;37937;70018
166;Alberto;García;40030;90016
